id,name,description,price,images,created_at,updated_at,rating,categories
288,"Aqualogica Glow+ Dewy Sunscreen SPF 50 PA+++ For UVA/B & Blue Light Protection, for Glowing & Well Protected Skin, Cream, 50G","A lightweight, hydrating sunscreen that provides broad-spectrum UVA/B and blue light protection, leaving a radiant, dewy finish ideal for daily use.",73951,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170037318_51TSC6UogxL._AC_UL320_.jpg""]",2025-02-10 06:47:18.609,2025-02-10 06:47:18.609,,"[""Fashion""]"
289,MARVIK Soft Silicone Adjustable Band Strap Compatible for Oneplus Smart Band & Oppo Smart Band,"A durable, flexible silicone strap designed for OnePlus and Oppo smart bands, offering an adjustable fit and sweat resistance for everyday wear.",185155,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170044382_51vYDop04SL._AC_UL320_.jpg""]",2025-02-10 06:47:24.804,2025-02-10 06:47:24.804,,"[""Fashion""]"
290,108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 1...,"A beautifully illustrated collection of Panchatantra moral stories, perfect for bedtime reading and teaching values to young children.",29654,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170047473_81VJ+MAc7YL._AC_UL320_.jpg""]",2025-02-10 06:47:27.777,2025-02-10 06:47:27.777,,"[""Fashion""]"
291,Black and White and Blue: Adult Cinema From the Victorian Age to the VCR,"An in-depth exploration of adult cinema history, tracing its evolution from the Victorian era through the advent of home video technology.",108268,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170050970_51RIhaW3t1L._AC_UL320_.jpg""]",2025-02-10 06:47:31.501,2025-02-10 06:47:31.501,,"[""Fashion""]"
292,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),"A stylish and durable 15-liter backpack featuring multiple compartments and an ergonomic design, perfect for students and casual outings.",148087,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170055038_61kmCas5OCL._AC_UL320_.jpg""]",2025-02-10 06:47:35.263,2025-02-10 06:47:35.263,,"[""Fashion""]"
293,"The Derma Co 1% Hyaluronic Sunscreen Aqua Ultra Light Gel with SPF 50 PA++++ For Broad Spectrum, UV A, UV B & Blue Light P...",An ultra-light gel sunscreen enriched with 1% hyaluronic acid that offers broad-spectrum protection (SPF 50 PA++++) while hydrating the skin.,92485,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170059306_51x3cj+-iUL._AC_UL320_.jpg""]",2025-02-10 06:47:39.983,2025-02-10 06:47:39.983,,"[""Fashion""]"
294,"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2,...","A feature-packed smartwatch with a vibrant 1.69-inch HD display, offering multiple sports modes, heart rate and SpO2 tracking, and fast charging for everyday use.",741175,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170062383_61Q0R5cdxWL._AC_UL320_.jpg""]",2025-02-10 06:47:42.654,2025-02-10 06:47:42.654,,"[""Fashion""]"
295,New Fastrack Reflex Beat+ 1.69” UltraVU Display|500 Nits Brightness|60 Sports Modes|24*7 Heart Rate Monitor|SpO2 Monitor|S...,"A trendy Fastrack smartwatch with an ultra-bright 1.69-inch display, extensive sports tracking, and continuous heart rate and SpO2 monitoring.",647763,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170065432_71E-b8o-1hL._AC_UL320_.jpg""]",2025-02-10 06:47:45.942,2025-02-10 06:47:45.942,,"[""Fashion""]"
296,"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Green)","Lightweight, foldable earmuffs designed to effectively reduce noise, making them ideal for work, shooting, or any noisy environment.",1341491,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170067904_51qHSeg28PS._AC_UL320_.jpg""]",2025-02-10 06:47:48.152,2025-02-10 06:47:48.152,,"[""Fashion""]"
297,"ZORBES® Dust Cover for SONY PS5 Console, Dust Proof Cover Protective Case Anti Scratch Waterproof Case for Sony PlayStatio...","A robust dust cover that protects your Sony PS5 console from scratches, dust, and spills with a waterproof and durable design.",233899,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170073453_41YdhN7LJ+L._AC_UL320_.jpg""]",2025-02-10 06:47:53.74,2025-02-10 06:47:53.74,,"[""Fashion""]"
298,Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud...,"A set of 6 illustrated books designed to introduce phonics to young children, helping them build strong reading skills through engaging stories.",44482,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170075637_914BVlcXuAL._AC_UL320_.jpg""]",2025-02-10 06:47:55.919,2025-02-10 06:47:55.919,,"[""Fashion""]"
299,Brado Jewellery Multi Wearing Heart Necklace 4 Heart Magnetic Rose Gold Necklace Pendant Heart Toggle Necklace Diamond Wom...,"A stylish multi-wearing heart necklace with a unique magnetic closure, crafted in rose gold for a sophisticated and elegant look.",185155,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170078451_51R3cy1wVmL._AC_UL320_.jpg""]",2025-02-10 06:47:58.686,2025-02-10 06:47:58.686,,"[""Fashion""]"
300,Skybags Brat Black 46 Cms Casual Backpack,"A compact and trendy backpack from Skybags, featuring a lightweight design and multiple compartments for organized storage.",389214,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170085263_810s53kR8tL._AC_UL320_.jpg""]",2025-02-10 06:48:05.521,2025-02-10 06:48:05.521,,"[""Fashion""]"
301,Amazon Brand - Solimo 3 Ply Toilet Paper/Tissue Roll - 12 Rolls (160 Pulls Per Roll),"Soft and highly absorbent 3-ply toilet paper rolls from Solimo, offering 160 pulls per roll for a comfortable and hygienic experience.",64869,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170089196_71m-Gpu0spL._AC_UL320_.jpg""]",2025-02-10 06:48:09.427,2025-02-10 06:48:09.427,,"[""Fashion""]"
302,NAPA HIDE Tan Crunch Leather Wallet for Men,"A premium leather wallet designed for men, featuring a tan crunch finish with multiple card slots and compartments for cash storage.",277825,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170093060_713Ny9d0LLL._AC_UL320_.jpg""]",2025-02-10 06:48:13.404,2025-02-10 06:48:13.404,,"[""Fashion""]"
303,"Polyester Bag, Lightweight Backpack Bag Handbag Home Storage Tool for Birthdays(AA801)","A lightweight and spacious polyester backpack, ideal for casual use, travel, or home storage needs.",1000651,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170095247_61P2DTCtSEL._AC_UL320_.jpg""]",2025-02-10 06:48:15.554,2025-02-10 06:48:15.554,,"[""Fashion""]"
304,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),"A powerful 1440-watt steam iron from Philips, equipped with a spray function and non-stick soleplate for effortless ironing.",425355,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170097368_71SxUzhnLvL._AC_UL320_.jpg""]",2025-02-10 06:48:17.599,2025-02-10 06:48:17.599,,"[""Fashion""]"
305,TIMEWEAR Analog Day Date Functioning Stainless Steel Chain Watch for Men,"A classic analog wristwatch for men, featuring a day-date function and stainless steel strap for a refined look.",333427,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170098820_81nj6IlZpVL._AC_UL320_.jpg""]",2025-02-10 06:48:19.184,2025-02-10 06:48:19.184,,"[""Fashion""]"
306,"Jumbo Colouring Book - Activity Colouring Book for 3 to 5 years old kids - Gift to children for painting, drawing and colo...","A fun and engaging jumbo coloring book designed for young kids, featuring creative activities and illustrations to spark imagination.",23168,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170102656_71XWX3Kz0QL._AC_UL320_.jpg""]",2025-02-10 06:48:23.081,2025-02-10 06:48:23.081,,"[""Fashion""]"
307,"Cetaphil Face Wash Gentle Skin Cleanser for Dry to Normal, Sensitive Skin, 125 ml Hydrating Face Wash with Niacinamide, Vi...","A gentle and hydrating face cleanser from Cetaphil, formulated with niacinamide and vitamin B5 for dry to normal, sensitive skin.",56529,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170105020_71t9JRry+3L._AC_UL320_.jpg""]",2025-02-10 06:48:25.261,2025-02-10 06:48:25.261,,"[""Fashion""]"
308,Boldfit Weight Machine For Luggage Weighing Scale For Luggage Capable Upto 50 Kg Weight Luggage Weight Machine Weighing Ma...,"A compact and accurate digital luggage weighing scale from Boldfit, capable of measuring up to 50 kg for hassle-free travel planning.",277825,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170107042_61en24Ik00L._AC_UL320_.jpg""]",2025-02-10 06:48:27.34,2025-02-10 06:48:27.34,,"[""Fashion""]"
309,"Silvr Bear Luxury Satin Scrunchies for Women/Girls SAME 5 COLORS AS PIC | Anti-Hair-Breakage, Hair Ties, Scrunchies Set fo...","A set of 5 luxury satin scrunchies designed to prevent hair breakage, ensuring a soft and stylish hold for all hair types.",111204,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170109373_81VHXwsLHHL._AC_UL320_.jpg""]",2025-02-10 06:48:29.666,2025-02-10 06:48:29.666,,"[""Fashion""]"
310,INOVERA (LABEL) Women Handbag,"A trendy and spacious handbag for women, offering durability and a chic design suitable for daily and formal use.",370495,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170112126_71Raw8VUk5L._AC_UL320_.jpg""]",2025-02-10 06:48:32.582,2025-02-10 06:48:32.582,,"[""Fashion""]"
311,GTA 5 (FULL PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY IN 2 HRS ‎ ‎,Detailed description not available.,370495,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170114640_71hI288MGDL._AC_UL320_.jpg""]",2025-02-10 06:48:35.134,2025-02-10 06:48:35.134,,"[""Fashion""]"
312,"L'Oréal Paris Revitalift Serum, Hydrating and Plumping, With 1.5% Hyaluronic Acid, 15ml","A deeply hydrating and plumping serum infused with 1.5% hyaluronic acid, reducing fine lines and improving skin elasticity.",92485,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170116917_41weqnSL2wL._AC_UL320_.jpg""]",2025-02-10 06:48:37.191,2025-02-10 06:48:37.191,,"[""Fashion""]"
313,"MILTON Helix 1000 Pet Water Bottle, Set of 4, 1 Litre Each, Assorted | BPA Free | 100% Leak Proof | Office Bottle | Gym Bo...","A set of 4 Milton Helix 1L PET water bottles, BPA-free and 100% leak-proof, ideal for office, gym, and travel use.",100084,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170119357_818EOU7f4PS._AC_UL320_.jpg""]",2025-02-10 06:48:39.694,2025-02-10 06:48:39.694,,"[""Fashion""]"
314,Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,"A fun and educational coloring book for kids aged 1-6, designed to enhance creativity and motor skills with engaging illustrations.",14827,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170121864_81GEhSSrjKL._AC_UL320_.jpg""]",2025-02-10 06:48:42.223,2025-02-10 06:48:42.223,,"[""Fashion""]"
315,"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Black)","Noise-reducing earmuffs that provide excellent hearing protection in loud environments, suitable for workers, shooters, and general use.",1311837,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170123813_613W4OWbuaS._AC_UL320_.jpg""]",2025-02-10 06:48:44.163,2025-02-10 06:48:44.163,,"[""Fashion""]"
316,Fastrack Analog Black Dial Unisex-Adult Watch-38024PP25,"A stylish unisex analog watch from Fastrack with a black dial and a durable strap, perfect for casual wear.",157539,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170130853_61FFBTzKiUL._AC_UL320_.jpg""]",2025-02-10 06:48:51.245,2025-02-10 06:48:51.245,,"[""Fashion""]"
317,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"A sleek and spacious 32-liter backpack from American Tourister, featuring a durable design suitable for school, college, and travel.",426282,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170133501_81KEKEDFUcL._AC_UL320_.jpg""]",2025-02-10 06:48:53.751,2025-02-10 06:48:53.751,,"[""Fashion""]"
318,Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,"A transparent jewelry organizer with 36 compartments, perfect for storing rings, earrings, and small accessories in an organized manner.",92670,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170135498_61jskHpc6FL._AC_UL320_.jpg""]",2025-02-10 06:48:55.814,2025-02-10 06:48:55.814,,"[""Fashion""]"
319,BATA Women's Kafi Slipper,"A stylish and comfortable slipper from BATA, designed for everyday wear with a soft sole for added comfort.",111019,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170137430_71XsK-tzvRS._AC_UL320_.jpg""]",2025-02-10 06:48:58.13,2025-02-10 06:48:58.13,,"[""Fashion""]"
320,"Parachute Advansed Deep Nourish Body Lotion for Women & Men, Dry Skin, 400ml | Pure Coconut Milk, 100% Natural, 72h Moistu...","A deeply nourishing body lotion enriched with pure coconut milk, providing 72-hour moisture for dry skin.",55417,"[""https://gclyhedubfskowdnrtmg.supabase.co/storage/v1/object/public/ecommerce/products/1739170140089_51cwzZAh0qL._AC_UL320_.jpg""]",2025-02-10 06:49:00.359,2025-02-10 06:49:00.359,,"[""Fashion""]"
